fact
Host,Fact,Value
vm-ca-4.c3pki.nit.disa.mil,network_eth0_179,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_122,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_134,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_176,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,network_eth5_123,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_176,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_131,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_179,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_173,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,network_eth5_120,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_173,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_176,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_170,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_122,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,network_eth0_170,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_149,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_173,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_155,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,network_eth0_155,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_149,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_170,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_143,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_155,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_149,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_239,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,network_eth5_175,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth5_169,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_143,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_134,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_177,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,network_eth5_172,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_134,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_227,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_131,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_174,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_119,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_143,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_233,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_180,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,network_eth0_131,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,network_eth0_119,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_134,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_171,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_122,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,network_eth0_122,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_156,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_215,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_131,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_119,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,network_eth5_145,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth0_122,00:50:56:9e:14:00
vm-ca-4.c3pki.nit.disa.mil,network_eth5_136,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,uuid,06e91e42-9730-2f39-3966-de476e9aa530
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_144,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_203,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_150,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,network_eth5_133,10.10.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_177,00:50:56:9e:6c:9b
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth2,00:50:56:9e:37:ff
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth1_123,00:50:56:9e:58:ad
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth6_135,00:50:56:9e:56:6c
vm-ca-4.c3pki.nit.disa.mil,network_eth0_177,10.1.0.0
vm-ca-4.c3pki.nit.disa.mil,macaddress_eth5_180,00:50:56:9e:6c:9b
