filter
Id,Resource type,Search,Unlimited?,Role,Permissions
1,ForemanTasks::Task,none,true,Tasks Manager,"view_foreman_tasks, edit_foreman_tasks"
2,ForemanTasks::Task,none,true,Tasks Reader,view_foreman_tasks
3,Location,none,true,Discovery Reader,view_locations
4,Organization,none,true,Discovery Reader,view_organizations
5,Host,none,true,Discovery Reader,view_discovered_hosts
6,DiscoveryRule,none,true,Discovery Reader,view_discovery_rules
7,Location,none,true,Discovery Manager,"view_locations, assign_locations"
8,Organization,none,true,Discovery Manager,"view_organizations, assign_organizations"
9,Host,none,true,Discovery Manager,"destroy_discovered_hosts, edit_discovered_hosts, provision_discovered_hosts, auto_provision_discovered_hosts, submit_discovered_hosts, view_discovered_hosts"
10,DiscoveryRule,none,true,Discovery Manager,"view_discovery_rules, create_discovery_rules, edit_discovery_rules, execute_discovery_rules, destroy_discovery_rules"
11,(Miscellaneous),none,true,Boot disk access,download_bootdisk
12,(Miscellaneous),none,true,Red Hat Access Logs,"view_log_viewer, logs"
13,(Miscellaneous),none,true,Access Insights Viewer,"rh_telemetry_api, rh_telemetry_view"
14,(Miscellaneous),none,true,Access Insights Admin,"rh_telemetry_api, rh_telemetry_view, rh_telemetry_configurations"
15,Architecture,none,true,Manager,"view_architectures, create_architectures, edit_architectures, destroy_architectures"
16,Audit,none,true,Manager,view_audit_logs
17,AuthSourceLdap,none,true,Manager,"view_authenticators, create_authenticators, edit_authenticators, destroy_authenticators"
18,Bookmark,none,true,Manager,"view_bookmarks, create_bookmarks, edit_bookmarks, destroy_bookmarks"
19,ComputeResource,none,true,Manager,"console_compute_resources_vms, power_compute_resources_vms, destroy_compute_resources_vms, edit_compute_resources_vms, create_compute_resources_vms, view_compute_resources_vms, destroy_compute_resources, edit_compute_resources, create_compute_resources, view_compute_resources"
20,ConfigTemplate,none,true,Manager,"view_templates, create_templates, edit_templates, destroy_templates, deploy_templates"
21,(Miscellaneous),none,true,Manager,"access_dashboard, view_plugins, access_settings, view_statistics, view_tasks"
22,Domain,none,true,Manager,"view_domains, create_domains, edit_domains, destroy_domains"
23,Environment,none,true,Manager,"view_environments, create_environments, edit_environments, destroy_environments, import_environments"
24,LookupKey,none,true,Manager,"view_external_variables, create_external_variables, edit_external_variables, destroy_external_variables"
25,FactValue,none,true,Manager,"view_facts, upload_facts"
26,CommonParameter,none,true,Manager,"view_globals, create_globals, edit_globals, destroy_globals"
27,HostClass,none,true,Manager,edit_classes
28,Parameter,none,true,Manager,"create_params, edit_params, destroy_params"
29,Hostgroup,none,true,Manager,"view_hostgroups, create_hostgroups, edit_hostgroups, destroy_hostgroups"
30,Host,none,true,Manager,"puppetrun_hosts, ipmi_boot, console_hosts, power_hosts, build_hosts, destroy_hosts, edit_hosts, create_hosts, view_hosts"
31,Image,none,true,Manager,"view_images, create_images, edit_images, destroy_images"
32,Location,none,true,Manager,"view_locations, create_locations, edit_locations, destroy_locations, assign_locations"
33,MailNotification,none,true,Manager,view_mail_notifications
34,Medium,none,true,Manager,"view_media, create_media, edit_media, destroy_media"
35,Model,none,true,Manager,"view_models, create_models, edit_models, destroy_models"
36,Operatingsystem,none,true,Manager,"view_operatingsystems, create_operatingsystems, edit_operatingsystems, destroy_operatingsystems"
37,Organization,none,true,Manager,"view_organizations, create_organizations, edit_organizations, destroy_organizations, assign_organizations"
38,Ptable,none,true,Manager,"view_ptables, create_ptables, edit_ptables, destroy_ptables"
39,Puppetclass,none,true,Manager,"view_puppetclasses, create_puppetclasses, edit_puppetclasses, destroy_puppetclasses, import_puppetclasses"
40,Realm,none,true,Manager,"view_realms, create_realms, edit_realms, destroy_realms"
41,Report,none,true,Manager,"view_reports, destroy_reports, upload_reports"
42,SmartProxy,none,true,Manager,"destroy_smart_proxies_puppetca, edit_smart_proxies_puppetca, view_smart_proxies_puppetca, destroy_smart_proxies_autosign, create_smart_proxies_autosign, view_smart_proxies_autosign, destroy_smart_proxies, edit_smart_proxies, create_smart_proxies, view_smart_proxies"
43,Subnet,none,true,Manager,"view_subnets, create_subnets, edit_subnets, destroy_subnets, import_subnets"
44,Trend,none,true,Manager,"view_trends, create_trends, edit_trends, destroy_trends, update_trends"
45,Usergroup,none,true,Manager,"view_usergroups, create_usergroups, edit_usergroups, destroy_usergroups"
46,User,none,true,Manager,"view_users, create_users, edit_users, destroy_users"
47,Ptable,none,true,Edit partition tables,"view_ptables, create_ptables, edit_ptables, destroy_ptables"
48,Host,none,true,View hosts,view_hosts
49,Host,none,true,Edit hosts,"view_hosts, create_hosts, edit_hosts, destroy_hosts, build_hosts"
50,Architecture,none,true,Viewer,view_architectures
51,Audit,none,true,Viewer,view_audit_logs
52,AuthSourceLdap,none,true,Viewer,view_authenticators
53,Bookmark,none,true,Viewer,view_bookmarks
54,ComputeProfile,none,true,Viewer,view_compute_profiles
55,ComputeResource,none,true,Viewer,"view_compute_resources, view_compute_resources_vms"
