hostgroup
Id,Name,Title,Operating System,Environment,Model
1,BASELINE,BASELINE,RHEL_Server_6.6,production,
28,NAGIOS,BASELINE/NAGIOS,RHEL_Server_6.6,production,
3,PHYSICAL,BASELINE/PHYSICAL,RHEL_Server_6.6,production,
5,DS,BASELINE/PHYSICAL/DS,RHEL_Server_6.6,production,
16,CA-DS,BASELINE/PHYSICAL/DS/CA-DS,RHEL_Server_6.6,production,
17,DRM-DS,BASELINE/PHYSICAL/DS/DRM-DS,RHEL_Server_6.6,production,
39,GDS-LDAP,BASELINE/PHYSICAL/GDS-LDAP,RHEL_Server_7.2,production,
19,GOTS-DB,BASELINE/PHYSICAL/GOTS-DB,RHEL_Server_6.6,production,
4,HYPERVISOR,BASELINE/PHYSICAL/HYPERVISOR,RHEL_Server_6.6,production,
14,CA-HOST,BASELINE/PHYSICAL/HYPERVISOR/CA-HOST,RHEL_Server_6.6,production,
15,DRM-HOST,BASELINE/PHYSICAL/HYPERVISOR/DRM-HOST,RHEL_Server_6.6,production,
18,GOTS-HOST,BASELINE/PHYSICAL/HYPERVISOR/GOTS-HOST,RHEL_Server_6.6,production,
6,SATELLITE,BASELINE/PHYSICAL/SATELLITE,RHEL_Server_6.6,production,
27,WORKSTATION,BASELINE/PHYSICAL/WORKSTATION,RHEL_Server_6.6,production,
26,SYSLOG,BASELINE/SYSLOG,RHEL_Server_6.6,production,
2,VM,BASELINE/VM,RHEL_Server_6.6,production,
7,CS,BASELINE/VM/CS,RHEL_Server_6.6,production,
29,CS9,BASELINE/VM/CS9,RHEL_Server_7.1,production,
30,CS9CA,BASELINE/VM/CS9/CS9CA,RHEL_Server_7.1,production,
31,CS9DRM,BASELINE/VM/CS9/CS9DRM,RHEL_Server_7.1,production,
9,CA,BASELINE/VM/CS/CA,RHEL_Server_5.11,production,
10,DRM,BASELINE/VM/CS/DRM,RHEL_Server_5.11,production,
20,GOTS,BASELINE/VM/GOTS,RHEL_Server_6.6,production,
23,ARA,BASELINE/VM/GOTS/ARA,RHEL_Server_6.6,production,
41,GDS-VM,BASELINE/VM/GOTS/GDS-VM,RHEL_Server_7.2,production,
34,PORTAL,BASELINE/VM/GOTS/PORTAL,RHEL_Server_7.1,production,
21,PUREBRED,BASELINE/VM/GOTS/PUREBRED,RedHat 7.5,production,
22,RFS-GOTS,BASELINE/VM/GOTS/RFS-GOTS,RHEL_Server_6.6,production,
35,WAF-PORTAL,BASELINE/VM/GOTS/WAF-PORTAL,RHEL_Server_7.1,production,
48,WBBR,BASELINE/VM/GOTS/WBBR,RedHat 7.5,production,
13,RFS,BASELINE/VM/RFS,RHEL_Server_5.11,production,
8,WAF,BASELINE/VM/WAF,RHEL_Server_6.6,production,
11,WAF-CA,BASELINE/VM/WAF/WAF-CA,RHEL_Server_6.6,production,
12,WAF-DRM,BASELINE/VM/WAF/WAF-DRM,RHEL_Server_6.6,production,
47,PUBLIC_TRUST,PUBLIC_TRUST,RedHat 7.5,production,
